Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
3/10/2015,72.31459808,45.93082428,71.14743042,18.61138916,68.94913483,53.56673431,47.7248497,40.21357727,40.44256973
3/11/2015,71.91748047,45.57919312,71.35565948,18.72859001,68.9103241,53.50928116,47.66730499,39.95332718,40.18159103
3/12/2015,73.38004303,46.2444458,70.9013443,19.13488388,69.82252502,54.19873428,48.26194763,40.21357727,40.94588852
3/13/2015,72.79888916,45.88330841,70.63632965,19.00205612,69.6866684,53.70079422,47.80157852,39.99188232,40.52645493
3/14/2015,72.79888916,45.88330841,70.63632965,19.00205612,69.6866684,53.70079422,47.80157852,39.99188232,40.52645493
3/15/2015,72.79888916,45.88330841,70.63632965,19.00205612,69.6866684,53.70079422,47.80157852,39.99188232,40.52645493
3/16/2015,73.65125275,46.44401932,71.59227753,19.23645592,71.22966003,54.59133911,47.7248497,40.46419144,41.22550964
3/17/2015,73.24443817,46.11139679,71.31780243,19.1895771,71.02585602,54.37109756,47.19734573,40.47382736,41.16026306
3/18/2015,73.89339447,46.42501068,73.39060974,19.29896355,71.94777679,55.01267242,47.91667175,41.02324677,42.26942825
3/19/2015,73.78684998,46.21593094,72.22642517,19.11925697,72.3650589,54.63921738,47.09184265,40.90758133,41.87796021
3/20/2015,74.60559082,46.79146957,73.28166199,19.37764359,72.88764191,54.94631577,47.39377213,41.17110825,42.25162506
3/21/2015,74.60559082,46.79146957,73.28166199,19.37764359,72.88764191,54.94631577,47.39377213,41.17110825,42.25162506
3/22/2015,74.60559082,46.79146957,73.28166199,19.37764359,72.88764191,54.94631577,47.39377213,41.17110825,42.25162506
3/23/2015,74.47926331,46.86796188,73.02440643,19.26785469,72.68327332,54.48458099,47.39377213,41.17110825,42.27980423
3/24/2015,74.09053802,46.60025024,72.53845978,19.11101532,72.0507431,54.3018074,47.23973846,41.0356102,41.81013489
3/25/2015,72.88549805,46.48551941,73.48175812,18.80517578,70.73700714,53.37834167,46.71025467,39.98068619,41.32167435
3/26/2015,72.42874908,46.28474045,73.39600372,18.78949165,70.57157898,53.23405457,46.81614685,40.00972366,40.97411728
3/27/2015,72.79803467,46.57156754,72.79573059,18.76596642,71.07761383,53.43606186,46.79689789,40.03875732,41.21834564
3/28/2015,72.79803467,46.57156754,72.79573059,18.76596642,71.07761383,53.43606186,46.79689789,40.03875732,41.21834564
3/29/2015,72.79803467,46.57156754,72.79573059,18.76596642,71.07761383,53.43606186,46.79689789,40.03875732,41.21834564
3/30/2015,73.54632568,47.04005814,74.35836029,19.04043579,71.79772949,54.18637848,47.43228149,40.52266693,41.72559357
3/31/2015,73.22563171,46.60025024,73.9200592,18.90712166,70.55211639,53.64768982,46.96055603,40.10650253,41.73498917
4/1/2015,72.90493011,46.65761566,73.90100098,18.89143944,69.84172821,53.29176712,47.0953331,40.0484314,41.77256012
4/2/2015,73.5560379,46.97312927,74.05345154,18.9855423,70.05581665,53.32062912,47.14346695,40.03875732,41.84770584
4/3/2015,73.5560379,46.97312927,74.05345154,18.9855423,70.05581665,53.32062912,47.14346695,40.03875732,41.84770584
4/4/2015,73.5560379,46.97312927,74.05345154,18.9855423,70.05581665,53.32062912,47.14346695,40.03875732,41.84770584
4/5/2015,73.5560379,46.97312927,74.05345154,18.9855423,70.05581665,53.32062912,47.14346695,40.03875732,41.84770584
4/6/2015,73.90589142,47.3460083,75.3874054,19.01691055,70.16286469,53.72464371,47.51892471,40.42588806,42.43009949
4/7/2015,73.49773407,47.12610245,75.43504333,18.91496468,70.32829285,53.5995903,47.44190598,40.33878326,41.94163895
4/8/2015,74.18771362,47.20259476,74.82524109,18.9855423,70.92190552,53.78236008,47.57668304,40.46459579,41.81952667
4/9/2015,74.25574493,47.33644867,76.02580261,19.01691055,71.45713043,54.04208755,47.71146011,40.57105637,41.64105225
4/10/2015,74.50841522,47.4224968,76.35928345,19.00906944,72.07020569,54.80202103,47.846241,40.72591019,41.95103455
4/11/2015,74.50841522,47.4224968,76.35928345,19.00906944,72.07020569,54.80202103,47.846241,40.72591019,41.95103455
4/12/2015,74.50841522,47.4224968,76.35928345,19.00906944,72.07020569,54.80202103,47.846241,40.72591019,41.95103455
4/13/2015,74.10025787,47.20259476,75.59702301,19.07964706,71.68094635,54.2825737,47.65370178,40.60977173,41.53772354
4/14/2015,74.06138611,47.30776596,76.95956421,19.07964706,71.79772949,54.34991074,47.85586548,40.48395157,41.74438095
4/15/2015,74.06138611,47.17391205,78.79851532,19.15022469,71.98262787,54.44610214,48.31796265,40.84204865,41.84770584
4/16/2015,74.20715332,47.3460083,78.61746979,19.18159294,71.94369507,54.3306694,48.21206665,40.69687653,41.57529831
4/17/2015,73.10900879,46.90620041,78.045784,18.92280579,71.32089233,53.676548,47.76922226,40.13553619,41.42500305
4/18/2015,73.10900879,46.90620041,78.045784,18.92280579,71.32089233,53.676548,47.76922226,40.13553619,41.42500305
4/19/2015,73.10900879,46.90620041,78.045784,18.92280579,71.32089233,53.676548,47.76922226,40.13553619,41.42500305
